"Customer","CustomerId","CustomerNumber","PartyType","links"
"US2 Legal Entity","300000046973983","3","ORGANIZATION","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/300000046973983', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/300000046973983', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"US2 Legal Entity","300000046973989","4","ORGANIZATION","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/300000046973989', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/300000046973989', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Darvin Morton","100000000395800","1036","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000395800', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000395800', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Jake Somers","100000000395786","1022","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000395786', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000395786', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Feng Cai","100000000395822","1058","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000395822', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000395822', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Riva Polsky","100000000398173","2020","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398173', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398173', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Francois Biron","100000000398182","2029","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398182', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398182', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"ABC Corporation Asia","100000000398183","25350","ORGANIZATION","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398183', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398183', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Fumiko Horie","100000000398184","2031","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398184', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398184', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Apex Solutions","100000000398185","80040","ORGANIZATION","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398185', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398185', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Harper Stone","100000000398186","2033","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398186', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398186', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Amélie Gautier","100000000398187","2034","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398187', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398187', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Orion Managed Services Ltd","100000000398188","80050","ORGANIZATION","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398188', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398188', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Lei Chang","100000000398275","2037","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398275', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398275', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Gansu Tianshui Petro Group","100000000398276","32620","ORGANIZATION","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398276', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398276', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
"Niko Fang","100000000398277","2039","PERSON","[{'rel': 'self', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398277', 'name': 'shippingCustomersLOV', 'kind': 'item'}, {'rel': 'canonical', 'href': 'https://fa-esdr-dev13-saasfademo1.ds-fa.oraclepdemos.com:443/fscmRestApi/resources/11.13.18.05/shippingCustomersLOV/100000000398277', 'name': 'shippingCustomersLOV', 'kind': 'item'}]"
